Date,ID,Location,User,Text,Source
4/4/12 13:11,187527810397642755,"Charlotte, NC",anthonyfoxx,Thanks to LA Mayor and DNC Convention Chair-nominee Antonio Villaraigosa for showing Charlotte some love.,HootSuite
4/19/12 15:52,193004170385694721,"Charlotte, NC",anthonyfoxx,"@CSARTS It was great to ""ketchup"" -- great org helping bring the arts to Charlotte youth -- spcl thanks to host and friend Carol Hamrick",web
4/20/12 14:18,193342966239211520,"Charlotte, NC",anthonyfoxx,@danielroselli @anthonyfoxx @cltjoules @PackardPlaceCLT looking forward to it!,Mobile Web
4/22/12 17:16,194112364826730497,"Charlotte, NC",anthonyfoxx,@cltlobbyist love the hat!,Twitter for BlackBerryÂ®
4/26/12 11:32,195475384790302720,"Charlotte, NC",anthonyfoxx,@toniabendickson We referred this issue to City Council Community Safety Committee chaired by Patrick Cannon and will have more info soon.,Twitter for BlackBerryÂ®
4/26/12 11:33,195475637757153280,"Charlotte, NC",anthonyfoxx,@JMBJR82 Yes. One of my top priorities!  Please check http://t.co/hk4AVHLj and pull up mayor's youth employment program.,Twitter for BlackBerryÂ®
4/27/12 0:44,195674720681734145,"Charlotte, NC",anthonyfoxx,"C'mon, Bobcats...give us one more win...C'mon Panthers give us a good pick.",HootSuite
4/27/12 2:00,195693959295672320,"Charlotte, NC",anthonyfoxx,@ashleikblue @anthonyfoxx LOL!,Mobile Web
4/27/12 2:01,195694047376056320,"Charlotte, NC",anthonyfoxx,@Arra_da_Flygurl @anthonyfoxx LOL!,Mobile Web
5/7/12 22:58,199634407009693696,"Charlotte, NC",anthonyfoxx,"Primary election day tomorrow in NC.  If you haven't voted already, vote tomorrow, May 8.",Ping.fm
6/2/12 11:54,208889224215277568,"Charlotte, NC",anthonyfoxx,Kids Convention today @ 10:30 am @ Epicenter.  All kids welcome!   http://t.co/50TGo8CW,HootSuite
6/30/12 1:00,218871609270865921,"Charlotte, NC",anthonyfoxx,"Lifting a prayer for my friend Mecklenburg County Commissioner Neil Cooksey, a real class act.  http://t.co/O3tgTxZC",Ping.fm
7/2/12 18:20,219858105046011904,"Charlotte, NC",anthonyfoxx,Welcome and happy first day to new Charlotte-Mecklenburg School Superintendent Heath Morrison!,Seesmic
7/4/12 12:47,220499126821982208,"Charlotte, NC",anthonyfoxx,Happy July 4th!  Thanks to all who labor to protect our freedoms here and abroad.,Seesmic
7/4/12 12:49,220499556197072897,"Charlotte, NC",anthonyfoxx,Thank you Andy Griffith for putting North Carolina on the world stage.  May you rest in peace.,Seesmic
7/4/12 12:54,220500767121997824,"Charlotte, NC",anthonyfoxx,My heart and prayers are with local families of Air National Guard members who gave their lives fighting the midwestern forest fires.,Seesmic
7/4/12 19:01,220593252137578496,"Washington, D.C.",architectmag,The statue's arm and torch were shown in Philly 10 years before it went to NY. (Leaders tried to have the statue built there.) #libertyfacts,HootSuite
7/4/12 21:01,220623378153877504,"Washington, D.C.",architectmag,"Emma Lazarus's 1883 poem ""The New Colossus"" (""Give me your tired, your poor ..."") wasn't linked to the statue until the '30s. #libertyfacts",HootSuite
7/4/12 22:01,220638404826767360,"Washington, D.C.",architectmag,"Beginning with ""Planet of the Apes,"" many American movies have shown the Statue of Liberty dismembered or destroyed. #libertyfacts",HootSuite
7/4/12 23:01,220653465045712896,"Washington, D.C.",architectmag,"There are about 40 replicas of the statue around the world, including two in China and four in Japan. There are 3 in Paris. #libertyfacts",HootSuite
7/5/12 0:01,220668644143800321,"Washington, D.C.",architectmag,Joseph Pulitzer used his newspaper empire to rally public support and donations for the statue. #libertyfacts,HootSuite
7/5/12 1:00,220683612805275653,"Washington, D.C.",architectmag,"French intellectuals designed the statue as tribute to US liberty, without any official backing, and chose its location. #libertyfacts",HootSuite
7/5/12 2:00,220698723729149952,"Washington, D.C.",architectmag,The Statue of Liberty's public unveiling was in October 1886. Happy fourth everyone! #libertyfacts,HootSuite
7/5/12 16:27,220916948958068736,"Washington, D.C.",architectmag,"As tech adopts animal functionality, will we be stymied by the ""uncanny valley"" phenomenon? Blaine Brownell explores. http://t.co/N2c1A0wO",web
7/5/12 17:08,220927237774524418,"Washington, D.C.",architectmag,"What the latest storm to rock the East Coast means for climate change and architecture, by Aaron Betsky. http://t.co/0k98un0H #Climatechange",web
7/5/12 17:10,220927534706077697,"Washington, D.C.",architectmag,"AIA prez Jeff Potter knocks blogosphere, ""where discourse is fragmented and heat supplants light"": http://t.co/fSPFLpeY Really? In 2012?",web
7/5/12 18:35,220948970506174464,"Washington, D.C.",architectmag,Vitamin G: Lo-fi sustainable projects and green features. Small-scale and large-scale ideas alike. http://t.co/mGuQSqGJ,web
7/5/12 21:02,220986044991016960,"Washington, D.C.",architectmag,Our own @NedCramer discovers that John Soane's first house is for sale. http://t.co/YOKSxanp #Soane,web
7/6/12 13:38,221236617753538560,"Washington, D.C.",architectmag,"Aerotropolis, city of the future! @Greg_Lindsay &amp; @JohnKasarda write that the airport city's time has come. With video. http://t.co/qNvb5ZtE",web
7/6/12 15:38,221266914834526209,"Washington, D.C.",architectmag,Practice your short stroke at the National Building Museum's new indoor arch-inspired mini-golf course. $5/round. http://t.co/ABHpNsco,web
7/6/12 19:08,221319610409029632,"Washington, D.C.",architectmag,Unemployment in construction seem to be falling. But so is employment. And total workforce participation. http://t.co/PXJStk4V #jobsfriday,web
7/6/12 19:08,221319719054082048,"Washington, D.C.",architectmag,Unemployment is falling in architecture/construction—and so is employment. Four charts explain how: http://t.co/jci5wn30 #jobsfriday,web
7/9/12 15:48,222356600223051776,"Washington, D.C.",architectmag,"McAllen, Texas, brought on MS&amp;R to convert an abandoned Walmart into an award-winning library: http://t.co/nsPUoo03",web
7/9/12 17:36,222383726913527809,"Washington, D.C.",architectmag,"The apse of Abramson Teiger's First Presbyterian Church looks like the fractal space in ""Les Demoiselles d'Avignon"": http://t.co/4RFGi3Fs",web
7/9/12 18:04,222390787768467457,"Washington, D.C.",architectmag,"From ""tin-can alley"" to ""man camps"": A close look at the buildings explosion following North Dakota's fracking boom: http://t.co/aqD1P47S",web
7/9/12 19:38,222414357290680320,"Washington, D.C.",architectmag,".@chipkidd's ""Batman: Death by Design"" pits Batman against starchitects and preservationists (and the Joker): http://t.co/iAtaAf7a",web
7/9/12 19:26,222411336859131905,London,architwibe,C&amp;C for rendering progression? Solar Decathlon 2011 http://t.co/UfecPydh,twitterfeed
7/9/12 19:26,222411338260021248,London,architwibe,Ellie Caulkins Opera House at the Quigg Newton Auditorium / Semple Brown Design  ArchDaily http://t.co/iOPqTK7U,twitterfeed
7/9/12 21:31,222442964394328065,London,architwibe,The Greatest Walkway Ever http://t.co/3fZIoOlD,twitterfeed
7/9/12 22:03,222450812201353216,London,architwibe,"Valle Crucis Abbey, Llangollen, Wales. http://t.co/DIEOst2J",twitterfeed
7/10/12 0:40,222490566594789376,London,architwibe,"The simple, yet elegant beauty of a doorway - Here are some of the most eclectic in Granada, Nicaragua http://t.co/sk0adylK",twitterfeed
7/10/12 1:43,222506414508224512,London,architwibe,Need help convincing my firm to support a monthly homebrew tasting http://t.co/34TY1iIH,twitterfeed
7/10/12 3:19,222530356623052801,London,architwibe,The House that Ate The Hamptons http://t.co/UUVAjNqT,twitterfeed
7/10/12 3:19,222530357394817027,London,architwibe,Minton Hill House - De La Riva Architects http://t.co/W4uFBQbt,twitterfeed
7/10/12 4:34,222549269238919168,London,architwibe,RT @SustMeme: Winner for sustainable architecture? Cast your vote: Should RIBA have an annual sustainability award?  @ArchitectsJrnal…,twitterfeed
7/10/12 4:34,222549270107140098,London,architwibe,RT @SustMeme: Winner for sustainable architecture? Cast your vote: Should RIBA have an annual sustainability award? http://t.co/Grh...,twitterfeed
7/10/12 4:52,222553821619040257,London,architwibe,The Sun Slice Hous http://t.co/nvY9bsyZ,twitterfeed
7/10/12 4:52,222553822298521601,London,architwibe,Jeju Island Resor http://t.co/fszXG3wi,twitterfeed
7/10/12 4:52,222553823170924545,London,architwibe,"Worked on a design/build playhouse for CASA in OKC, here's an interior shot. http://t.co/GekAtc8O",twitterfeed
7/10/12 5:23,222561628225409024,London,architwibe,"Nikolai Krasil'nikov, â€œProblems of Modern Architecture: Final diploma project for Aleksandr Vesnin's studio at V... http://t.co/OQ9ghjnz",twitterfeed
7/10/12 5:37,222565266675077120,London,architwibe,RT @kskapoor07: Helo,twitterfeed
7/10/12 5:37,222565267555893248,London,architwibe,RT @tweetbymichelle: hi,twitterfeed
7/10/12 6:26,222577579608117248,London,architwibe,Irish gifts http://t.co/6JnaKF11,twitterfeed
7/10/12 8:03,222601992135118848,London,architwibe,Design/Build at Virginia Tech Construction Time-Lapse http://t.co/HwL1Ggbw,twitterfeed
7/10/12 11:44,222657562993102848,London,architwibe,Lego Bridge in German. Yes it is to good to be true. http://t.co/dzsMPDGI,twitterfeed
7/10/12 13:53,222690099123597312,London,architwibe,I think r/Architecture would appreciate this more. (x-post from r/pics) http://t.co/AAEZqbqt,twitterfeed
7/5/12 17:49,220937452284690433,New York,archpaper,"Creative Capital: Same floor plate, radical transformation for a Chicago ad agency designed by HOK: http://t.co/e7lf5DMr",TweetDeck
7/5/12 17:50,220937664025739264,New York,archpaper,"Young Plan: Gary Lee Partners creates a cheerful, collaborative office for the YMCA's headquarters in Chicago: http://t.co/gUBpL9Sb",TweetDeck
7/5/12 20:09,220972725445988352,New York,archpaper,On View> Skyscraper: Art &amp; Architecture Against Gravity in Chicago explores our fascination w/ building tall: http://t.co/YikhnpGq,TweetDeck
7/5/12 20:40,220980507083685889,New York,archpaper,A mobile sound recording book disguised as a silver orb will soon hit the streets of Los Angeles: http://t.co/hFOZifDi,TweetDeck
7/5/12 21:49,220997870894067714,New York,archpaper,"This ""Lego Bridge"" in Germany is part of a 10-mile pedestrian/cycle path on an old rail viaduct: http://t.co/MVPx6z0d",TweetDeck
7/6/12 13:38,221236732484530176,New York,archpaper,"In case you missed it, check out this ""Lego Bridge"" on a rail viaduct turned ped/cycle path in Germany: http://t.co/MVPx6z0d",TweetDeck
7/6/12 16:28,221279403567620098,New York,archpaper,Perishable! Gehry's Air &amp; Space Gallery in limbo at California Science Center: http://t.co/rioA4M6g,TweetDeck
7/6/12 16:52,221285610512596994,New York,archpaper,Fabrikator> Bohlin Cywinski Jackson's tree canopy shrouds a Baltimore chapel in dappled light: http://t.co/O5wlHIaU,TweetDeck
7/6/12 18:54,221316314751451137,New York,archpaper,"Rooftop ""Tea House"" pavilion just outside Boston made from 250,000 red plastic coffee stirrers: http://t.co/Hjclq7GN",TweetDeck
7/6/12 18:57,221317077003280384,New York,archpaper,We hear that filmmaker Steve Reiss is working on a full-length movie about Buckminster Fuller: http://t.co/IjzMRFpv,TweetDeck
7/6/12 19:05,221318915115061249,New York,archpaper,Editorial> The Intern Catch-22: Sam Lubell on the practice of architecture and unpaid internships: http://t.co/YPQ8YcAf,TweetDeck
7/6/12 20:21,221338214970040320,New York,archpaper,Nation's 1st rooftop community garden prepares to open atop a Seattle parking garage: http://t.co/jGakjadg,TweetDeck
7/9/12 16:45,222370845962670080,New York,archpaper,"As California High Speed Rail is approved, David Herd speculates on the system's profound opportunity: http://t.co/Rjn7MwgX",TweetDeck
7/9/12 16:59,222374416359768066,New York,archpaper,"Freshly approved in California, David Herd asserts that the future rides on High Speed Rail: http://t.co/Rjn7MwgX #HSR",TweetDeck
7/9/12 17:09,222376953179684864,New York,archpaper,"Make Way for Public Space: Chicago says 4-part plan to expand ped. realm will boost economy, spur activity: http://t.co/F6ZZD72W",TweetDeck
7/10/12 13:05,222677996492951552,New York,archpaper,#ViennaHousing  with  talk public housing at Austrian Cultural Forum,Twitter for iPhone
7/10/12 13:10,222679284752465920,New York,archpaper,#ViennaHousing: 60% of Vienna's housing owned by city; most new housing built on brownfield,Twitter for iPhone
7/10/12 13:30,222684256273571840,New York,archpaper,#ViennaHousing: in addition to encouraging diverse immigrant communities Vienna also subsidizing planned gay community> #Que(e)rbau,Twitter for iPhone
7/10/12 13:34,222685238554406912,New York,archpaper,"#ViennaHousing: ""social sustainability"" big priority; supported through ""artistic interventions""",Twitter for iPhone
7/9/12 18:32,222397708554600448,,AtlanticCities,A solution to Hong Kong's overcrowded cemeteries: floating graves? http://t.co/Wr2SRiPZ via @citycalfe,Twitter for Mac
7/9/12 20:15,222423635896438784,,AtlanticCities,Map -- which countries play home to the top 500 global companies? http://t.co/vXCK4D3p via @businessinsider #cityreads,Sprout Social
7/9/12 20:50,222432547399933952,,AtlanticCities,Is this what Spider-Man will be like once he hits 70? Fascinating new public art via @citycalfe http://t.co/S9SpbCJ9,HootSuite
7/9/12 21:15,222438837627011073,,AtlanticCities,A personnel shakeup as London frets over the future of Olympic Park http://t.co/tZkzK6wj,Twitter for Mac
7/9/12 21:34,222443718911860736,,AtlanticCities,"The London Assembly urges the Olympics to ban sponsors linked to childhood obesity (i.e., McDonald's): http://t.co/Z2A5XXih",TweetDeck
7/9/12 22:01,222450514032459777,,AtlanticCities,America's top creative class metro areas -- the results may surprise you a bit: http://t.co/Imguwx8q,TweetDeck
7/9/12 22:06,222451611065262082,,AtlanticCities,"Map of the Day: Soda vs. Pop vs. Coke, this time based on Twitter data http://t.co/fNNjDYoR via @Richard_Florida",Twitter for Mac
7/9/12 22:34,222458818511118336,,AtlanticCities,Is the sea rising? NC's legislature doesn't want to talk about it -- or for planners to account for it: http://t.co/wGfj9k7Z,TweetDeck
7/9/12 23:11,222467922336030722,,AtlanticCities,Are unions preventing the U.S. from matching Europe or Asia's transit sophistication? http://t.co/jRrWwJJu,TweetDeck
7/9/12 23:16,222469180568514561,,AtlanticCities,"Is that ""energy saver"" setting on your AC really making a difference? http://t.co/yXs8Lfnr via @grist #cityreads",Sprout Social
7/9/12 23:48,222477236358483968,,AtlanticCities,Why are old people floating above Montreal? http://t.co/glNeyPqf,TweetDeck
7/10/12 1:37,222504663835095040,,AtlanticCities,"Londoners go to court to avoid hosting ""Olympic missiles"" on their roof: http://t.co/ALtDs3NH",TweetDeck
7/10/12 3:04,222526560710828032,,AtlanticCities,"Some NYC billboards see a ""subversive graffiti"" campaign -- with an interesting kick. http://t.co/ehkXsbQs",TweetDeck
7/10/12 5:55,222569592587948032,,AtlanticCities,Does urban light pollution pose a serious psychological problem? A new documentary says yes: http://t.co/6ouLdlYz,TweetDeck
7/10/12 10:56,222645343609827328,,AtlanticCities,Can San Francisco beat panhandling by giving out... puppies? http://t.co/VSW7QVpf,TweetDeck
7/10/12 11:54,222659937493467138,,AtlanticCities,Too cheap to invest in energy efficiency? Benchmarking alone can save up to 5 percent: http://t.co/d71rgHtW via @greentech #cityreads,Sprout Social
7/10/12 12:22,222666985442521088,,AtlanticCities,"Should California be concerned that it might be building ""ghost"" trains? http://t.co/Fi9U9jYG",TweetDeck
7/10/12 12:47,222673385572941826,,AtlanticCities,Ever wanted to turn the tables on those sidewalk solicitors you see everywhere in the summer? We did http://t.co/KQOD0i4M,Twitter for Mac
7/10/12 13:09,222679027780026368,,AtlanticCities,Can a city successfully gentrify its bus system? Does it want to? http://t.co/6JvV8LsY via @amandahess,Twitter for Mac
7/10/12 13:12,222679708645605377,,AtlanticCities,What does the city look like to the college kids shaking you down for charity donations on the sidewalk? http://t.co/KQOD0i4M,Twitter for Mac
6/22/12 18:56,216243275156307968,"Fort Worth, TX",Betsy_Price,"I posted 4 photos on Facebook in the album ""Tarrant County Back2School Roundup!"" http://t.co/j4xioVqn",Facebook
6/22/12 19:10,216246683657449473,"Fort Worth, TX",Betsy_Price,Really great news for the good citizens of Southeast Fort Worth! Progress!!! http://t.co/FIejYzBu,Facebook
6/22/12 19:48,216256282544451584,"Fort Worth, TX",Betsy_Price,http://t.co/epLbR5Yy Everybody check... http://t.co/sD1pWuHR,Facebook
6/22/12 21:56,216288578639114240,"Fort Worth, TX",Betsy_Price,"I posted 7 photos on Facebook in the album ""Calling all Kids! Come join us for a bike ride!"" http://t.co/bgsjHFeQ",Facebook
6/25/12 23:42,217402326938431488,"Fort Worth, TX",Betsy_Price,Just wanted to take the opportunity to congratulate Kelly Allen Gray on her victory in the District 8 City... http://t.co/vxn6ciCj,Facebook
6/25/12 23:43,217402547240054784,"Fort Worth, TX",Betsy_Price,Just wanted to take the opportunity to congratulate Kelly Allen Gray on her victory in the District 8 City... http://t.co/SIywwifI,Facebook
6/26/12 2:11,217439910330769409,"Fort Worth, TX",Betsy_Price,"Mayor's Message: Going green not just about doing what's right, it's about saving taxpayer dollars  http://t.co/2w5g3yGd",Facebook
6/26/12 14:42,217628857640038401,"Fort Worth, TX",Betsy_Price,"Fourth of July fun moves to Panther Island  City of Fort Worth, Texas http://t.co/eKhKYbcn",Facebook
6/27/12 4:36,217838686325309441,"Fort Worth, TX",Betsy_Price,"Now come the challenging Tour de Fort Worth rides! Tomorrow's ride will be a scorcher, but I know you're up to... http://t.co/VU7W5QEj",Facebook
6/28/12 4:14,218195704064131073,"Fort Worth, TX",Betsy_Price,Glad to see everyone had a great time on the Community Bike Ride tonight. Wish I was there with you! See all of... http://t.co/aN9u7Ni6,Facebook
6/28/12 17:10,218390816589225984,"Fort Worth, TX",Betsy_Price,"Chisholm Trail Parkway meets the Trinity Trails at upcoming meeting  City of Fort Worth, Texas http://t.co/0bJIthtN",Facebook
6/29/12 1:33,218517544666009601,"Fort Worth, TX",Betsy_Price,"City joins DOE's Better Buildings Challenge  City of Fort Worth, Texas http://t.co/0jGpzo47",Facebook
6/29/12 13:50,218702868063076352,"Fort Worth, TX",Betsy_Price,"Are we a healthy community or what! Steve, great pics from Tour de Fort Worth! http://t.co/KgeVAVwA",Facebook
6/29/12 13:53,218703633938788352,"Fort Worth, TX",Betsy_Price,More outstanding leadership from our Steer FW task forces. This article published by our Education Task Force.... http://t.co/dv0TheZg,Facebook
6/29/12 22:13,218829626577928192,"Fort Worth, TX",Betsy_Price,"We've been getting ready for it with our weekly rides, but it is finally here: the Tour de Fort Worth-France... http://t.co/dvYPqkIn",Facebook
6/30/12 22:15,219192349258027010,"Fort Worth, TX",Betsy_Price,"I posted 17 photos on Facebook in the album ""Tour de Fort Worth - France Series kickoff"" http://t.co/cIOXZXQ0",Facebook
7/1/12 23:59,219581027172093952,"Fort Worth, TX",Betsy_Price,I posted a new photo to Facebook http://t.co/4heI6W2Q,Facebook
7/6/12 21:36,221357080458698752,"Fort Worth, TX",Betsy_Price,"I can't be there tomorrow, but everybody come out to Gateway Park at 8am for the Tour de Fort Worth France Series... http://t.co/3nHjWX31",Facebook
7/7/12 16:50,221647278191026176,"Fort Worth, TX",Betsy_Price,Just walked 3.5 miles boy do I miss my bike. Hope everyone doing the Tour de Fort Worth is enjoying. I hope to be on my bike soon.,Facebook
7/10/12 3:35,222534430005268480,"Fort Worth, TX",Betsy_Price,People can't seem to get enough of Fort Worth or Texas! It's a great place to be! http://t.co/YA79aw1i,Facebook
6/27/12 15:53,218009138662359042,,BrookingsMetro,#MetroMonitor found strengthening employment growth while the rate of output was slowing http://t.co/Aa7Ikm48,web
6/27/12 18:02,218041516780826624,,BrookingsMetro,"House prices hit new lows, and with so many metro markets down, #MetroMonitor ranked 73 in 28th place—tied for last http://t.co/Aa7Ikm48",web
6/27/12 19:41,218066665437532160,,BrookingsMetro,"The Mountain West metros are on a two-speed recovery, with some speeding ahead and leaving others behind http://t.co/Aa7Ikm48  #MetroMonitor",web
6/27/12 19:47,218068170798407681,,BrookingsMetro,View the transcript from today's web chat with Audrey Singer about the Supreme Court's #immigration decision: http://t.co/2Bry5Khr,web
6/27/12 20:30,218078923966251008,,BrookingsMetro,Looking to better understand the story behind the story of the national economy?  http://t.co/Aa7Ikm48 #MetroMonitor http://t.co/Shw3lrPv,web
6/29/12 12:26,218681770021888000,,BrookingsMetro,"Yet despite these problems, @bruce_katz,  of the @BrookingsInst in Washington, DC, says he is bullish on Buffalo. http://t.co/3r0FF01H",web
7/3/12 17:55,220214175979417600,,BrookingsMetro,Our upcoming event on July 18 will explore the geography of highly skilled immigrant workers http://t.co/2etUjWxn #MetroH1B,web
